polity2,gdppercap,gdpgrowth,urbanpop,coup,none,revmagfight,gendeathmag,ethmagfatal,revmagfatal,eth,ethmagfight,rev,gen,durable,yip,ethnic,linguistic,religious
-10,9190.0,8.205625,46.02875,0.03125,0.71875,0.625,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,21.25,11.1875,0.50951875,0.47841875,0.3331375
-9,2738.84057971,4.09729468599,40.9676811594,0.0772946859903,0.748792270531,0.130434782609,0.207729468599,0.299516908213,0.357487922705,0.193236714976,0.613526570048,0.0628019323671,0.0917874396135,23.2946859903,13.2415458937,0.5263,0.494780676329,0.40677294686
-8,3810.83962264,4.24226415094,44.4744339623,0.0471698113208,0.594339622642,0.61320754717,0.330188679245,0.320754716981,0.415094339623,0.207547169811,0.716981132075,0.216981132075,0.0943396226415,22.0943396226,12.7452830189,0.547952830189,0.473160377358,0.354852830189
-7,2004.34477124,4.39375816993,35.1055065359,0.102941176471,0.691176470588,0.295751633987,0.383986928105,0.429738562092,0.245098039216,0.222222222222,0.710784313725,0.0849673202614,0.161764705882,19.5718954248,7.55718954248,0.569000980392,0.46362875817,0.435490686275
-6,3021.27956989,4.87752688172,41.5525268817,0.0591397849462,0.731182795699,0.462365591398,0.129032258065,0.204301075269,0.220430107527,0.10752688172,0.263440860215,0.155913978495,0.0860215053763,26.3010752688,8.84946236559,0.506696774194,0.47051827957,0.310521505376
-5,1813.49090909,3.96454545455,29.4981818182,0.0909090909091,0.472727272727,0.854545454545,0.0909090909091,0.581818181818,0.581818181818,0.454545454545,1.09090909091,0.236363636364,0.0727272727273,9.67272727273,6.94545454545,0.509761818182,0.443276363636,0.396401818182
-4,1139.53846154,3.46019230769,27.9251923077,0.134615384615,0.346153846154,0.365384615385,0.278846153846,0.826923076923,0.134615384615,0.576923076923,1.36538461538,0.0961538461538,0.115384615385,8.59615384615,9.46153846154,0.564892307692,0.526630769231,0.467673076923
-3,2616.70652174,4.62239130435,39.8384782609,0.0434782608696,0.554347826087,0.880434782609,0.163043478261,0.423913043478,0.45652173913,0.315217391304,0.804347826087,0.228260869565,0.054347826087,5.80434782609,8.01086956522,0.470304347826,0.344417391304,0.357427173913
-2,2215.90322581,4.33,29.319516129,0.112903225806,0.693548387097,0.758064516129,0.161290322581,0.177419354839,0.516129032258,0.112903225806,0.322580645161,0.258064516129,0.0645161290323,6.82258064516,14.7419354839,0.677490322581,0.679982258065,0.427746774194
-1,1003.81395349,2.89860465116,33.1598837209,0.093023255814,0.593023255814,0.523255813953,0.093023255814,0.395348837209,0.302325581395,0.302325581395,0.767441860465,0.151162790698,0.0348837209302,5.96511627907,10.2790697674,0.674056976744,0.638519767442,0.401548837209
0,1929.75471698,2.19169811321,41.5071698113,0.125786163522,0.264150943396,1.57232704403,0.506289308176,1.12578616352,1.17610062893,0.396226415094,1.4213836478,0.433962264151,0.150943396226,0.433962264151,5.0251572327,0.565449056604,0.497442138365,0.483957861635
1,1207.16949153,3.59627118644,33.4220338983,0.0847457627119,0.64406779661,1.10169491525,0.0,0.203389830508,0.406779661017,0.152542372881,0.322033898305,0.237288135593,0.0,1.59322033898,5.64406779661,0.548952542373,0.539508474576,0.462518644068
2,1420.140625,5.0784375,43.50578125,0.078125,0.78125,0.421875,0.09375,0.125,0.234375,0.046875,0.171875,0.171875,0.03125,5.5625,7.09375,0.469784375,0.4828234375,0.1061171875
3,3221.23529412,3.91980392157,44.9256862745,0.117647058824,0.392156862745,0.705882352941,0.382352941176,0.960784313725,1.60784313725,0.509803921569,1.8431372549,0.313725490196,0.196078431373,3.09803921569,4.05882352941,0.540843137255,0.534474509804,0.364078431373
4,3686.64084507,2.49725352113,38.106971831,0.0140845070423,0.584507042254,0.739436619718,0.0140845070423,0.288732394366,0.246478873239,0.274647887324,0.647887323944,0.211267605634,0.00704225352113,27.5845070423,3.76056338028,0.537361267606,0.584107042254,0.645964788732
5,1336.08163265,4.65782312925,34.9855102041,0.047619047619,0.680272108844,0.210884353741,0.0510204081633,0.537414965986,0.115646258503,0.272108843537,0.775510204082,0.0816326530612,0.0204081632653,13.8639455782,6.2380952381,0.571274829932,0.586998639456,0.551954421769
6,6289.4120603,4.03522613065,53.585678392,0.0301507537688,0.668341708543,0.175879396985,0.0376884422111,0.402010050251,0.105527638191,0.276381909548,0.909547738693,0.0603015075377,0.0452261306533,9.72361809045,3.91457286432,0.431395477387,0.427766834171,0.415972864322
7,3386.59322034,3.33011299435,53.4825423729,0.0112994350282,0.621468926554,0.627118644068,0.0734463276836,0.282485875706,0.372881355932,0.175141242938,0.553672316384,0.203389830508,0.0169491525424,14.7231638418,3.82485875706,0.529828813559,0.40232259887,0.326205649718
8,3990.33195021,4.02771784232,54.9727385892,0.0165975103734,0.626556016598,0.46887966805,0.0165975103734,0.336099585062,0.323651452282,0.257261410788,0.651452282158,0.157676348548,0.0165975103734,13.1825726141,3.77593360996,0.445982157676,0.378826556017,0.315765975104
9,6055.73958333,4.19760416667,54.72234375,0.0,0.776041666667,0.317708333333,0.0,0.286458333333,0.125,0.203125,0.666666666667,0.0989583333333,0.0,17.875,3.4375,0.513646354167,0.501755208333,0.431927083333
10,20037.344,3.01504,72.31808,0.008,0.896,0.0,0.0,0.088,0.0,0.104,0.128,0.0,0.0,53.32,17.528,0.1236296,0.174272,0.5340208
